Date,Event,Weight class,Fighter1,Result,Fighter2,Method,Round,Time,Note,Time (secs)
1999-03-05,UFC 19: Ultimate Young Guns,Middleweight,Tito Ortiz,def.,Guy Mezger,TKO (punches),1.0,9:55,-,595
1999-03-05,UFC 19: Ultimate Young Guns,Heavyweight,Gary Goodridge,def.,Andre Roberts,TKO (submission to punches),1.0,0:42,-,42
1999-03-05,UFC 19: Ultimate Young Guns,Middleweight,Sione Latu,def.,Joey Roberts,TKO (doctor stoppage),1.0,10:01,-,601
1999-03-05,UFC 19: Ultimate Young Guns,Heavyweight,Pete Williams,def.,Jason Godsey,Submission (kneebar),1.0,1:54,-,114
1999-03-05,UFC 19: Ultimate Young Guns,Middleweight,Evan Tanner,def.,Valeri Ignatov,TKO (punches and elbows),1.0,2:57,-,177
1999-03-05,UFC 19: Ultimate Young Guns,Heavyweight,Kevin Randleman,def.,Maurice Smith,Decision (unanimous),1.0,15:00,-,900
1999-03-05,UFC 19: Ultimate Young Guns,Middleweight,Jeremy Horn,def.,Chuck Liddell,Technical Submission (inverted arm-triangle choke),1.0,12:00,-,720
1999-05-07,UFC 20: Battle for the Gold,Heavyweight,Ron Waterman,def.,Chris Condo,TKO (punches),1.0,0:28,-,28
1999-05-07,UFC 20: Battle for the Gold,Heavyweight,Bas Rutten,def.,Kevin Randleman,Decision (split),1.0,21:00,[a],1260
1999-05-07,UFC 20: Battle for the Gold,Heavyweight,Pedro Rizzo,def.,Tra Telligman,KO (punch),1.0,4:30,-,270
